1000000 trials run!
<# cards drawn>: <expected # pairs>, <expected # points>
0: 0.0, 0.0
1: 0.0, 1.0
2: 0.131069, 1.737862
3: 0.367329, 2.265342
4: 0.689133, 2.621734
5: 1.078472, 2.843056
6: 1.515694, 2.968612
7: 1.987033, 3.025934
8: 2.481538, 3.036924
9: 2.98941, 3.02118
10: 3.497071, 3.005858
11: 4.006393, 2.987214
12: 4.509453, 2.9810940000000006
13: 5.005224, 2.9895519999999998
14: 5.498472, 3.003056000000001
15: 5.988419, 3.0231619999999992
16: 6.48236, 3.03528
17: 6.987133, 3.025734
18: 7.516446, 2.9671079999999996
19: 8.078028, 2.8439440000000005
20: 8.689537, 2.6209260000000008
21: 9.367716, 2.2645680000000006
22: 10.130279, 1.7394420000000004
23: 11.0, 1.0
24: 12.0, 0.0
